VIN,Stock,Year,Make,Model,Color,Location
1HGCM82633A004352,A352,2018,Honda,Accord,Silver,Main Lot
2T1BURHE0JC074221,B221,2018,Toyota,Corolla,White,Main Lot
1N4AL3AP8JC123456,C456,2017,Nissan,Altima,Black,Main Lot
3FA6P0H76JR210998,D998,2018,Ford,Fusion,Blue,Main Lot
1C4RJFBG4JC123789,E789,2019,Jeep,Grand Cherokee,Red,Main Lot
KL8CB6SA0JC512334,F334,2018,Chevrolet,Spark,Gray,Main Lot
5NPE34AF4JH123887,G887,2018,Hyundai,Sonata,White,North Lot
1G1ZD5ST4JF140221,H221,2018,Chevrolet,Malibu,Black,North Lot
KNDJP3A59J7120441,J441,2018,Kia,Soul,Green,North Lot
2HKRW2H54JH612009,K009,2018,Honda,CR-V,Silver,Service Center
1FMCU0GD4JUA20331,L331,2018,Ford,Escape,White,Service Center
3N1AB7AP8JY228441,M441,2018,Nissan,Sentra,Blue,Main Lot
